instance_id,coverage_group,family,n,seed,operational_level,threshold,random_expectation_anchor,spectral_upper_bound,target_event_count_exact_validation,rho_tau_exact_validation,feasible_exact_validation,realized_quality_ratio_exact_validation,construction_uses_C_star,evidence_label
n10_d75_s42,random_seed_expansion,random_fixed_density,10,42,0.55,124,91.0,150.02546287691598,10,0.009765625,True,0.9253731343283582,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s73,random_seed_expansion,random_fixed_density,10,73,0.25,98,82.5,141.12967468255246,166,0.162109375,True,0.8099173553719008,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s73,random_seed_expansion,random_fixed_density,10,73,0.4,106,82.5,141.12967468255246,50,0.048828125,True,0.8760330578512396,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s73,random_seed_expansion,random_fixed_density,10,73,0.55,115,82.5,141.12967468255246,4,0.00390625,True,0.9504132231404959,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s101,random_seed_expansion,random_fixed_density,10,101,0.25,95,75.5,151.0,56,0.0546875,True,0.9223300970873787,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s101,random_seed_expansion,random_fixed_density,10,101,0.4,106,75.5,151.0,0,0.0,False,1.029126213592233,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s101,random_seed_expansion,random_fixed_density,10,101,0.55,118,75.5,151.0,0,0.0,False,1.145631067961165,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s211,random_seed_expansion,random_fixed_density,10,211,0.25,89,76.5,124.5497465330368,220,0.21484375,True,0.8476190476190476,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s211,random_seed_expansion,random_fixed_density,10,211,0.4,96,76.5,124.5497465330368,72,0.0703125,True,0.9142857142857143,False,exact post-construction threshold validation on expanded coverage suite
n10_d75_s211,random_seed_expansion,random_fixed_density,10,211,0.55,103,76.5,124.5497465330368,6,0.005859375,True,0.9809523809523809,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s17,random_seed_expansion,random_fixed_density,12,17,0.25,55,43.5,87.0,772,0.1884765625,True,0.6790123456790124,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s17,random_seed_expansion,random_fixed_density,12,17,0.4,61,43.5,87.0,300,0.0732421875,True,0.7530864197530864,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s17,random_seed_expansion,random_fixed_density,12,17,0.55,68,43.5,87.0,92,0.0224609375,True,0.8395061728395061,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s42,random_seed_expansion,random_fixed_density,12,42,0.25,41,32.5,65.0,868,0.2119140625,True,0.6612903225806451,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s42,random_seed_expansion,random_fixed_density,12,42,0.4,46,32.5,65.0,390,0.09521484375,True,0.7419354838709677,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s42,random_seed_expansion,random_fixed_density,12,42,0.55,51,32.5,65.0,140,0.0341796875,True,0.8225806451612904,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s73,random_seed_expansion,random_fixed_density,12,73,0.25,42,33.0,66.0,844,0.2060546875,True,0.7,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s73,random_seed_expansion,random_fixed_density,12,73,0.4,47,33.0,66.0,332,0.0810546875,True,0.7833333333333333,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s73,random_seed_expansion,random_fixed_density,12,73,0.55,52,33.0,66.0,104,0.025390625,True,0.8666666666666667,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s101,random_seed_expansion,random_fixed_density,12,101,0.25,55,44.0,88.0,810,0.19775390625,True,0.7236842105263158,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s101,random_seed_expansion,random_fixed_density,12,101,0.4,62,44.0,88.0,282,0.06884765625,True,0.8157894736842105,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s101,random_seed_expansion,random_fixed_density,12,101,0.55,69,44.0,88.0,50,0.01220703125,True,0.9078947368421053,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s211,random_seed_expansion,random_fixed_density,12,211,0.25,49,38.5,77.0,708,0.1728515625,True,0.6805555555555556,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s211,random_seed_expansion,random_fixed_density,12,211,0.4,54,38.5,77.0,304,0.07421875,True,0.75,False,exact post-construction threshold validation on expanded coverage suite
n12_d25_s211,random_seed_expansion,random_fixed_density,12,211,0.55,60,38.5,77.0,96,0.0234375,True,0.8333333333333334,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s17,random_seed_expansion,random_fixed_density,12,17,0.25,100,80.0,160.0,410,0.10009765625,True,0.8403361344537815,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s17,random_seed_expansion,random_fixed_density,12,17,0.4,112,80.0,160.0,44,0.0107421875,True,0.9411764705882353,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s17,random_seed_expansion,random_fixed_density,12,17,0.55,124,80.0,160.0,0,0.0,False,1.0420168067226891,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s42,random_seed_expansion,random_fixed_density,12,42,0.25,98,78.0,156.0,352,0.0859375,True,0.765625,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s42,random_seed_expansion,random_fixed_density,12,42,0.4,110,78.0,156.0,64,0.015625,True,0.859375,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s42,random_seed_expansion,random_fixed_density,12,42,0.55,121,78.0,156.0,10,0.00244140625,True,0.9453125,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s73,random_seed_expansion,random_fixed_density,12,73,0.25,124,98.5,197.0,274,0.06689453125,True,0.8157894736842105,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s73,random_seed_expansion,random_fixed_density,12,73,0.4,138,98.5,197.0,30,0.00732421875,True,0.9078947368421053,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s73,random_seed_expansion,random_fixed_density,12,73,0.55,153,98.5,197.0,0,0.0,False,1.006578947368421,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s101,random_seed_expansion,random_fixed_density,12,101,0.25,108,88.5,164.58657480867245,454,0.11083984375,True,0.8120300751879699,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s101,random_seed_expansion,random_fixed_density,12,101,0.4,119,88.5,164.58657480867245,94,0.02294921875,True,0.8947368421052632,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s101,random_seed_expansion,random_fixed_density,12,101,0.55,131,88.5,164.58657480867245,4,0.0009765625,True,0.9849624060150376,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s211,random_seed_expansion,random_fixed_density,12,211,0.25,97,77.5,155.0,410,0.10009765625,True,0.751937984496124,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s211,random_seed_expansion,random_fixed_density,12,211,0.4,109,77.5,155.0,78,0.01904296875,True,0.8449612403100775,False,exact post-construction threshold validation on expanded coverage suite
n12_d50_s211,random_seed_expansion,random_fixed_density,12,211,0.55,121,77.5,155.0,10,0.00244140625,True,0.937984496124031,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s17,random_seed_expansion,random_fixed_density,12,17,0.25,139,120.5,193.05706782323148,570,0.13916015625,True,0.8475609756097561,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s17,random_seed_expansion,random_fixed_density,12,17,0.4,150,120.5,193.05706782323148,132,0.0322265625,True,0.9146341463414634,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s17,random_seed_expansion,random_fixed_density,12,17,0.55,161,120.5,193.05706782323148,8,0.001953125,True,0.9817073170731707,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s42,random_seed_expansion,random_fixed_density,12,42,0.25,148,124.5,214.58047576020033,366,0.08935546875,True,0.8457142857142858,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s42,random_seed_expansion,random_fixed_density,12,42,0.4,161,124.5,214.58047576020033,54,0.01318359375,True,0.92,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s42,random_seed_expansion,random_fixed_density,12,42,0.55,175,124.5,214.58047576020033,2,0.00048828125,True,1.0,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s73,random_seed_expansion,random_fixed_density,12,73,0.25,155,132.5,220.99299096492305,366,0.08935546875,True,0.8333333333333334,False,exact post-construction threshold validation on expanded coverage suite
n12_d75_s73,random_seed_expansion,random_fixed_density,12,73,0.4,168,132.5,220.99299096492305,36,0.0087890625,True,0.9032258064516129,False,exact post-construction threshold validation on expanded coverage suite
