instance_id,n,density_target,seed,target_ratio,threshold,marked_count,rho_tau,eps_model,oracle_cost_norm,diffusion_cost_norm,prep_cost_norm,k_star_resource_eff,p_target_eff,expected_repetitions,score,normalized_cost,normalized_resource_per_target_hit,depth_model,eta_res
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.0,8.0,1.0,1.0,26,0.8486721595721104,1.1783113051619216,0.0036113708917962146,235.0,276.9031567130516,810.0,0.13520661948879475
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.0005,1.0,1.0,1.0,21,0.4758436173431143,2.1015307625297717,0.011066130635886379,43.0,90.36582278878019,660.0,0.04346701707093844
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.0005,2.0,1.0,1.0,21,0.4758436173431143,2.1015307625297717,0.007435056520986161,64.0,134.4979688019054,660.0,0.06469509517535023
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.0005,4.0,1.0,1.0,21,0.4758436173431143,2.1015307625297717,0.004489090729652022,106.0,222.76226082815583,660.0,0.10715125138417382
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.0005,8.0,1.0,1.0,21,0.4758436173431143,2.1015307625297717,0.002504440091279549,190.0,399.29084488065666,660.0,0.192063563801821
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.001,1.0,1.0,1.0,18,0.30099425514897193,3.3223225456747247,0.008134979868891133,37.0,122.9259341899648,570.0,0.058248497945277936
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.001,2.0,1.0,1.0,18,0.30099425514897193,3.3223225456747247,0.005472622820890399,55.0,182.72774001210985,570.0,0.08658560505379152
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.001,4.0,1.0,1.0,18,0.30099425514897193,3.3223225456747247,0.00330762917746123,91.0,302.33135165639993,570.0,0.1432598192708187
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.001,8.0,1.0,1.0,17,0.2844184230113768,3.515946644426756,0.0018468728766972522,154.0,541.4557832417204,540.0,0.2565690168266293
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.002,1.0,1.0,1.0,12,0.1262486328887283,7.920877851258552,0.005049945315549132,25.0,198.02194628146378,390.0,0.091059592714457
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.002,2.0,1.0,1.0,12,0.1262486328887283,7.920877851258552,0.0034121252132088735,37.0,293.0724804965664,390.0,0.13476819721739636
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.002,4.0,1.0,1.0,12,0.1262486328887283,7.920877851258552,0.0020696497194873493,61.0,483.1735489267716,390.0,0.22218540622327507
n12_d25_s42,12,0.25,42,1.0,62,2,0.00048828125,0.002,8.0,1.0,1.0,12,0.1262486328887283,7.920877851258552,0.0011582443384287,109.0,863.3756857871821,390.0,0.3970198242350325
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.0,1.0,1.0,1.0,3,0.8016944509007435,1.2473580163570426,0.11452777870010622,7.0,8.731506114499298,120.0,0.21743496671848836
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.0,2.0,1.0,1.0,3,0.8016944509007435,1.2473580163570426,0.08016944509007436,10.0,12.473580163570427,120.0,0.31062138102641196
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.0,4.0,1.0,1.0,3,0.8016944509007435,1.2473580163570426,0.05010590318129647,16.0,19.95772826171268,120.0,0.49699420964225904
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.0,8.0,1.0,1.0,3,0.8016944509007435,1.2473580163570426,0.028631944675026555,28.0,34.926024457997194,120.0,0.8697398668739534
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.0005,1.0,1.0,1.0,3,0.7550074006296191,1.3244903283942324,0.1078582000899456,7.0,9.271432298759626,120.0,0.22744303290586346
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.0005,2.0,1.0,1.0,3,0.7550074006296191,1.3244903283942324,0.07550074006296191,10.0,13.244903283942323,120.0,0.3249186184369478
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.0005,4.0,1.0,1.0,3,0.7550074006296191,1.3244903283942324,0.047187962539351196,16.0,21.19184525430772,120.0,0.5198697894991166
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.0005,8.0,1.0,1.0,3,0.7550074006296191,1.3244903283942324,0.0269645500224864,28.0,37.0857291950385,120.0,0.9097721316234538
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.001,1.0,1.0,1.0,3,0.7110391925066092,1.406392236234861,0.10157702750094418,7.0,9.844745653644027,120.0,0.23791174896166828
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.001,2.0,1.0,1.0,3,0.7110391925066092,1.406392236234861,0.07110391925066092,10.0,14.063922362348611,120.0,0.33987392708809755
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.001,4.0,1.0,1.0,3,0.7110391925066092,1.406392236234861,0.044439949531663074,16.0,22.502275779757777,120.0,0.543798283340956
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.001,8.0,1.0,1.0,3,0.7110391925066092,1.406392236234861,0.025394256875236044,28.0,39.37898261457611,120.0,0.9516469958466731
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.002,1.0,1.0,1.0,3,0.630635191140977,1.585702818440483,0.09009074159156814,7.0,11.099919729083382,120.0,0.26031691750518715
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.002,2.0,1.0,1.0,3,0.630635191140977,1.585702818440483,0.0630635191140977,10.0,15.85702818440483,120.0,0.37188131072169595
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.002,4.0,1.0,1.0,3,0.630635191140977,1.585702818440483,0.03941469944631106,16.0,25.37124509504773,120.0,0.5950100971547135
n12_d50_s17,12,0.5,17,0.9,108,102,0.02490234375,0.002,8.0,1.0,1.0,0,0.02345214414687338,42.64002445735092,0.02345214414687338,1.0,42.64002445735092,30.0,1.0
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.0,1.0,1.0,1.0,7,0.7944952109045791,1.2586608280010168,0.052966347393638605,15.0,18.879912420015252,240.0,0.1014057795996913
n12_d50_s17,12,0.5,17,0.95,114,22,0.00537109375,0.0,2.0,1.0,1.0,7,0.7944952109045791,1.2586608280010168,0.036113418677480864,22.0,27.69053821602237,240.0,0.1487284767462139
