instance_id,n,target_ratio,threshold,marked_count,rho_tau,eps_model,oracle_cost_norm,k_star,p_target_eff,normalized_cost,normalized_resource_per_target_hit,eta_res
n8_d25_s17,8,0.9,36,8,0.03125,0.002,16.0,0,0.02943014167450778,1.0,33.9787694894515,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,0.5,3,0.6847029591781743,5.5,8.032680341562221,0.23463653081580094
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,0.620928906036742,3,0.6847029591781743,5.862786718110226,8.562525748606564,0.2501134429909706
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,0.7711054127039704,3,0.6847029591781743,6.313316238111911,9.220518406535836,0.2693335672824803
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,0.9576032806985736,2,0.49199204523032697,4.915206561397147,9.99041876601091,0.2918225425360302
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,1.189207115002721,2,0.49199204523032697,5.378414230005442,10.931912989543413,0.3193238159590206
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,1.4768261459394993,2,0.49199204523032697,5.953652291878999,12.101114946059313,0.35347648720133024
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,1.8340080864093424,2,0.49199204523032697,6.668016172818685,13.553097529650183,0.39588924878676973
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,2.2775772695133836,2,0.49199204523032697,7.555154539026767,15.356253444077145,0.448559868093258
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,2.8284271247461903,2,0.49199204523032697,8.65685424949238,17.59551670279477,0.5139692881457687
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,3.5125043207466,2,0.49199204523032697,10.0250086414932,20.376363273922394,0.5951984874211755
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,4.362030930661032,2,0.49199204523032697,11.724061861322063,23.829779312454985,0.6960736031098131
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,5.41702218774757,2,0.49199204523032697,13.83404437549514,28.118430998246538,0.8213461535715638
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,6.727171322029715,2,0.49199204523032697,16.45434264405943,33.44432659750891,0.9769168490008592
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,8.35419025941931,0,0.029210241269250866,1.0,34.23456830713286,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,10.374716437208077,0,0.029210241269250866,1.0,34.23456830713286,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,12.883922655594034,0,0.029210241269250866,1.0,34.23456830713286,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0022500000000000003,16.0,0,0.029210241269250866,1.0,34.23456830713286,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,0.5,3,0.6644669285419058,5.5,8.277311877762074,0.23997569309074152
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,0.620928906036742,2,0.4810458309132321,4.241857812073484,8.817991009340234,0.2556510537943483
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,0.7711054127039704,2,0.4810458309132321,4.542210825407941,9.442366056441793,0.27375292513730315
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,0.9576032806985736,2,0.4810458309132321,4.915206561397147,10.21775108634861,0.2962328754777006
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,1.189207115002721,2,0.4810458309132321,5.378414230005442,11.180669043103222,0.3241497774229472
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,1.4768261459394993,2,0.4810458309132321,5.953652291878999,12.37647623008478,0.3588186001925413
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,1.8340080864093424,2,0.4810458309132321,6.668016172818685,13.86149872697144,0.40187234858435267
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,2.2775772695133836,2,0.4810458309132321,7.555154539026767,15.705685515835011,0.4553389823637698
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,2.8284271247461903,2,0.4810458309132321,8.65685424949238,17.995903286507946,0.5217369392080109
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,3.5125043207466,2,0.4810458309132321,10.0250086414932,20.84002811636766,0.60419376062075
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,4.362030930661032,2,0.4810458309132321,11.724061861322063,24.372026754841105,0.7065934084509081
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,5.41702218774757,2,0.4810458309132321,13.83404437549514,28.758266856262253,0.8337592110623632
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,6.727171322029715,2,0.4810458309132321,16.45434264405943,34.20535339184211,0.9916810564639936
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,8.35419025941931,0,0.028991983947767284,1.0,34.4922928283082,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,10.374716437208077,0,0.028991983947767284,1.0,34.4922928283082,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,12.883922655594034,0,0.028991983947767284,1.0,34.4922928283082,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.0025,16.0,0,0.028991983947767284,1.0,34.4922928283082,1.0
n8_d25_s17,8,0.9,36,8,0.03125,0.00275,0.5,2,0.47034315632210916,4.0,8.504429045547004,0.24471798554941596
n8_d25_s17,8,0.9,36,8,0.03125,0.00275,0.620928906036742,2,0.47034315632210916,4.241857812073484,9.01864469601955,0.259514724689419
